priority,caller,call_time,status,handler,handle_time
low,"[79, 'Lennard']",2019-05-27 22:44:42.744796,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:44:44.782217
high,"[17, 'Marybelle']",2019-05-27 22:44:42.970015,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:44:44.982746
low,"[32, 'Ned']",2019-05-27 22:44:43.901254,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:44:45.985611
high,"[68, 'Lucretia']",2019-05-27 22:44:45.357208,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:44:47.397083
high,"[44, 'Mariann']",2019-05-27 22:44:46.124517,deallocated,"[5, 'Beatriz', 'director']",2019-05-27 22:44:48.204805
low,"[2, 'Alma']",2019-05-27 22:44:46.619920,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:44:48.718974
low,"[16, 'Bartie']",2019-05-27 22:44:47.315363,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:44:49.509601
low,"[3, 'Daveen']",2019-05-27 22:44:47.877400,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:44:50.323746
high,"[45, 'Briant']",2019-05-27 22:44:49.238165,deallocated,"[4, 'Granville', 'manager']",2019-05-27 22:44:51.239925
low,"[48, 'Dorise']",2019-05-27 22:44:50.319753,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:44:52.435001
high,"[9, 'Waverley']",2019-05-27 22:44:49.499597,deallocated,"[5, 'Beatriz', 'director']",2019-05-27 22:44:52.644542
high,"[77, 'Garald']",2019-05-27 22:44:49.774185,deallocated,"[6, 'Tove', 'director']",2019-05-27 22:44:52.945329
low,"[33, 'Kyla']",2019-05-27 22:44:51.600279,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:44:53.653496
low,"[76, 'Padraig']",2019-05-27 22:44:51.961693,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:44:54.552823
high,"[74, 'Ruddie']",2019-05-27 22:44:52.294424,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:44:54.756488
low,"[64, 'Daveen']",2019-05-27 22:44:53.299812,deallocated,"[4, 'Granville', 'manager']",2019-05-27 22:44:55.363696
low,"[97, 'Avictor']",2019-05-27 22:44:54.543873,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:44:56.574341
low,"[5, 'Diandra']",2019-05-27 22:44:55.804018,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:44:57.875640
low,"[64, 'Daveen']",2019-05-27 22:44:56.345811,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:44:58.376695
low,"[20, 'Staford']",2019-05-27 22:44:57.332375,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:44:59.381827
low,"[39, 'Demetri']",2019-05-27 22:44:58.542830,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:45:00.592705
low,"[62, 'Sergei']",2019-05-27 22:44:58.923276,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:45:00.993667
low,"[86, 'Seline']",2019-05-27 22:44:59.567727,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:45:01.599412
high,"[73, 'Lynda']",2019-05-27 22:45:00.103724,deallocated,"[4, 'Granville', 'manager']",2019-05-27 22:45:02.202309
low,"[70, 'Damara']",2019-05-27 22:45:00.373951,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:45:02.705620
low,"[58, 'Margie']",2019-05-27 22:45:01.147462,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:45:03.218653
low,"[55, 'Birgitta']",2019-05-27 22:45:01.471298,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:45:03.722706
low,"[56, 'Karry']",2019-05-27 22:45:02.707143,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:45:04.723746
low,"[89, 'Lezlie']",2019-05-27 22:45:04.162099,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:45:06.239173
low,"[29, 'Manon']",2019-05-27 22:45:04.489491,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:45:06.540542
low,"[83, 'Ediva']",2019-05-27 22:45:05.093598,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:45:07.142453
low,"[7, 'Merissa']",2019-05-27 22:45:06.280884,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:45:08.349538
low,"[89, 'Lezlie']",2019-05-27 22:45:06.581719,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:45:08.655034
low,"[76, 'Padraig']",2019-05-27 22:45:07.495887,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:45:09.554582
low,"[12, 'Tiffie']",2019-05-27 22:45:08.278044,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:45:10.363694
low,"[40, 'Sibeal']",2019-05-27 22:45:08.807613,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:45:10.870143
low,"[46, 'Sampson']",2019-05-27 22:45:09.959892,deallocated,"[2, 'Twyla', 'senior']",2019-05-27 22:45:11.973792
high,"[22, 'Oona']",2019-05-27 22:45:10.399586,deallocated,"[4, 'Granville', 'manager']",2019-05-27 22:45:12.474870
low,"[53, 'Osgood']",2019-05-27 22:45:11.485341,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:45:13.489745
high,"[38, 'Launce']",2019-05-27 22:45:10.687725,deallocated,"[5, 'Beatriz', 'director']",2019-05-27 22:45:13.891940
low,"[38, 'Launce']",2019-05-27 22:45:12.381088,deallocated,"[1, 'Rosaline', 'junior']",2019-05-27 22:45:14.393311
high,"[20, 'Staford']",2019-05-27 22:45:12.915739,deallocated,"[4, 'Granville', 'manager']",2019-05-27 22:45:14.987148
high,"[53, 'Osgood']",2019-05-27 22:45:13.834623,deallocated,"[3, 'Elsi', 'manager']",2019-05-27 22:45:15.908452
high,"[25, 'Fay']",2019-05-27 22:45:15.299126,deallocated,"[4, 'Granville', 'manager']",2019-05-27 22:45:17.306142
